Date,Close,TMA,ATR,low_var,high_var,color,Open,High,Low,LN_return
1980-08-22,126.02,104.60805695999998,2.3942497807543615,0.9885047938601276,0.01149520613987397,blue,126.02,127.58,125.18,0.004109474000712038
1980-08-25,125.16,104.64640576,2.372537291716644,0.9904499415481979,0.009550058451803775,blue,125.16,126.28,124.32,-0.007191873557807341
1980-08-26,124.84,104.68492224,2.2824104271308117,0.9907694179827121,0.009230582017289454,blue,124.84,125.63,125.06,-0.0029041692426555656
1980-08-27,123.52,104.72359824,2.270789905774271,0.9879930908034994,0.012006909196502004,blue,123.52,124.98,122.93,-0.010973998970729669
1980-08-28,122.08,104.76241536,2.272250410485557,0.9858462112118188,0.014153788788182482,blue,122.08,123.91,121.61,-0.012070686584931621
1980-08-29,122.38,104.80144623999999,2.2576378899612797,0.9853360847233009,0.014663915276700286,blue,122.38,123.04,121.06,0.0021102226536117066
1980-09-02,123.74,104.8407608,2.204755995463216,0.9800919835803136,0.019908016419687535,blue,123.74,123.58,122.42,0.010707464223904827
1980-09-03,126.12,104.88038576,2.1645181956900554,0.9750327373455563,0.024967262654444752,blue,126.12,125.14,124.29,0.01870707672947193
1980-09-04,125.42,104.92028416,2.1237922859055525,0.9841933711332482,0.015806628866752798,blue,125.42,127.08,125.73,-0.005909897406557613
1980-09-05,124.88,104.96042064000001,2.0506026716102745,0.9882343908776223,0.011765609122378718,blue,124.88,125.4,124.76,-0.004658996752243095
1980-09-08,123.31,105.00079120000001,1.9950725380297605,0.9889206959326893,0.01107930406731197,blue,123.31,124.95,124.01,-0.012995934169313418
1980-09-09,124.07,105.04137824,2.0243189111282724,0.9920664016849428,0.007933598315058485,blue,124.07,124.52,121.94,0.005800244727719613
1980-09-10,124.81,105.08217696000001,2.040602965571859,0.9929727086356848,0.007027291364316578,blue,124.81,125.95,123.6,0.0056024906309619085
1980-09-11,125.66,105.1231464,2.0530728172932666,0.9920899548871867,0.007910045112814425,blue,125.66,126.48,124.19,0.006443098199807195
1980-09-12,125.54,105.16426928,2.0519191764286036,0.9892931227367734,0.01070687726322772,blue,125.54,126.75,124.72,-0.0012995819300143
1980-09-15,125.67,105.20557728,1.9873232176071736,0.980409451108331,0.019590548891670147,blue,125.67,125.24,124.78,0.0006908228930622584
1980-09-16,126.74,105.2470776,2.019457056726815,0.9555856679663097,0.0444143320336913,blue,126.74,127.78,125.15,0.008134152423679259
1980-09-17,128.87,105.28873328,2.0709842038904744,0.9161043011298413,0.08389569887015971,blue,128.87,129.62,126.57,0.016322232560356822
1980-09-18,128.4,105.33055024,2.01993499369595,0.906372372980077,0.09362762701992386,blue,128.4,129.6,128.55,-0.003997920889023894
1980-09-19,129.25,105.37255424000001,1.9799382440111526,0.8784838082555576,0.12151619174444332,blue,129.25,129.51,128.29,0.006253954288078614
1980-09-22,130.4,105.41476623999999,1.9364413318105942,0.821504397752654,0.17849560224734687,blue,130.4,129.64,128.53,0.008513968259389063
1980-09-23,129.43,105.45717104,1.885619265220064,0.7345841968303869,0.26541580316961394,blue,129.43,131.19,130.27,-0.00781062288275207
1980-09-24,130.37,105.4997824,1.8438383019590614,0.5889136625888202,0.4110863374111805,blue,130.37,130.36,129.31,0.006892199375704348
1980-09-25,128.72,105.54259664,1.9216463868611087,0.3165475126742289,0.6834524873257717,green,128.72,131.53,128.13,-0.013081226835197487
1980-09-26,126.35,105.58560752,1.955564067518053,0.1310852745312487,0.8689147254687518,green,126.35,127.45,126.12,-0.018927836694548523
1980-09-29,123.54,105.62874047999999,1.9822858641421501,0.10488183069834765,0.8951181693016528,green,123.54,124.57,123.86,-0.02283501141099982
1980-09-30,125.46,105.67203024,2.0106715709350427,0.13759225135252712,0.8624077486474734,green,125.46,126.09,123.54,0.015077824556207878
