Date, Open, High, Low, Close,LN_Return
5/3/85,180.08,180.21,179.08,180.08,0.005959526
5/2/85,179.01,179.01,178.39,179.01,0.003581626
5/1/85,178.37,180.58,178.96,178.37,-0.008151916
04/30/85,179.83,180.58,178.96,179.83,-0.00443878
04/29/85,180.63,182.25,180.63,180.63,-0.008544469
04/26/85,182.18,183.56,182.18,182.18,-0.006837914
04/25/85,183.43,183.56,182.18,183.43,0.006398884
04/24/85,182.26,182.26,181.76,182.26,0.00208711
04/23/85,181.88,181.88,180.38,181.88,0.006508931
04/22/85,180.7,181.2,180.33,180.7,-0.002266384
04/19/85,181.11,181.24,180.49,181.11,0.001491919
04/18/85,180.84,182.47,180.84,180.84,-0.004634235
04/17/85,181.68,181.81,181.18,181.68,0.002645504
04/16/85,181.2,181.7,180.2,181.2,0.001546449
04/15/85,180.92,181.05,180.55,180.92,0.002102585
4/12/85,180.54,180.34,180.22,180.54,0.00194051
4/11/85,180.19,180.81,179.44,180.19,0.004282424
4/10/85,179.42,179.8,178.3,179.42,0.006766796
4/9/85,178.21,178.59,178.09,178.21,0.001010555
4/8/85,178.03,179.41,177.91,178.03,-0.005601314
4/4/85,179.03,179.03,178.41,179.03,-0.000446753
4/3/85,179.11,180.49,178.74,179.11,-0.007896827
4/2/85,180.53,181.78,180.28,180.53,-0.004090664
4/1/85,181.27,181.27,180.52,181.27,0.003370821
03/29/85,180.66,180.66,179.66,180.66,0.006218787
03/28/85,179.54,180.54,179.54,179.54,0
03/27/85,179.54,179.79,178.54,179.54,0.006201657
03/26/85,178.43,178.81,177.93,178.43,0.002581371
03/25/85,177.97,178.97,177.97,177.97,-0.005994248
03/22/85,179.04,179.92,178.92,179.04,-0.001729959
03/21/85,179.35,180.1,179.35,179.35,0.001506571
03/20/85,179.08,179.71,178.83,179.08,-0.002565391
03/19/85,179.54,179.54,176.92,179.54,0.014926488
03/18/85,176.88,177.63,176.63,176.88,0.001980703
03/15/85,176.53,178.41,176.53,176.53,-0.007393436
03/14/85,177.84,178.47,177.72,177.84,-0.001966127
03/13/85,178.19,179.94,178.06,178.19,-0.008215779
3/12/85,179.66,180.03,178.78,179.66,0.004854243
3/11/85,178.79,179.42,178.17,178.79,-0.001732376
3/8/85,179.1,179.85,179.1,179.1,-0.002286608
3/7/85,179.51,180.64,179.51,179.51,-0.006330541
3/6/85,180.65,182.15,180.65,180.65,-0.008708168
3/5/85,182.23,182.61,181.48,182.23,0.000933322
3/4/85,182.06,183.31,181.44,182.06,-0.006405891
3/1/85,183.23,183.86,181.23,183.23,0.011251182
02/28/85,181.18,181.18,180.43,181.18,0.002597476
02/27/85,180.71,181.84,180.59,180.71,-0.002542281
02/26/85,181.17,181.55,179.17,181.17,0.01076592
02/25/85,179.23,179.36,178.23,179.23,-0.000725062
02/22/85,179.36,180.36,179.24,179.36,-0.00461689
